iter	RMSE
0	541.2848683
1	537.9197952
2	534.6758049
3	531.4028477
4	528.2064265
5	525.1932
6	522.1791121
7	519.1002944
8	515.9929469
9	512.9980836
10	510.1422152
11	507.2289444
12	504.2532458
13	501.3008834
14	498.4296498
15	495.715833
16	492.9860329
17	490.049686
18	487.2704233
19	484.5744823
20	482.1309097
21	479.410957
22	476.9538655
23	474.3346707
24	471.8372025
25	469.2804476
26	466.6910184
27	464.3976354
28	461.8297028
29	459.4072858
30	456.957024
31	454.5300319
32	452.0681659
33	449.6169954
34	447.2602825
35	444.9077829
36	442.5446891
37	440.2063633
38	437.8790122
39	435.6145622
40	433.3925077
41	431.1350261
42	428.9128685
43	426.7048666
44	424.6071298
45	422.4845134
46	420.3942068
47	418.1820749
48	416.1720198
49	414.1159646
50	412.2672608
51	410.2688564
52	408.2585413
53	406.333699
54	404.3467179
55	402.4481857
56	400.521423
57	398.6343247
58	396.7922766
59	394.8586401
60	393.024176
61	391.1044883
62	389.2786164
63	387.5127194
64	385.6779437
65	383.8694113
66	382.1996721
67	380.4282425
68	378.8286457
69	377.147894
70	375.4432706
71	373.7879859
72	372.1296107
73	370.4747655
74	368.8861985
75	367.3729313
76	365.7751735
77	364.0938069
78	362.7018627
79	361.1826182
80	359.8113935
81	358.5181261
82	356.9908199
83	355.5473624
84	354.0688287
85	352.5541379
86	351.1251031
87	349.5879739
88	348.2658171
89	346.855914
90	345.4615263
91	344.0885348
92	342.6896968
93	341.3029793
94	340.0196496
95	338.6530648
96	337.510791
97	336.20225
98	334.8444422
99	333.5036508
100	332.3467733
101	331.0708923
102	329.8318359
103	328.5593868
104	327.407613
105	326.2452427
106	325.0553724
107	323.8206822
108	322.686266
109	321.5395409
110	320.3464657
111	319.1769187
112	317.9795705
113	316.9058258
114	315.7390252
115	314.5356313
116	313.4399747
117	312.3589127
118	311.2542332
119	310.275947
120	309.2288317
121	308.1650016
122	307.2407659
123	306.2899493
124	305.2381258
125	304.2096
126	303.1118699
127	302.0741404
128	301.0695561
129	300.1272201
130	299.2608232
131	298.3220783
132	297.3454838
133	296.4651262
134	295.440973
135	294.4933033
136	293.6165841
137	292.7629482
138	291.8443588
139	290.989462
140	289.9549397
141	289.0472069
142	288.0531887
143	287.0794456
144	286.289648
145	285.4518143
146	284.5406639
147	283.529014
148	282.6737637
149	281.8993343
150	281.0371801
151	280.3691389
152	279.4978332
153	278.7957568
154	277.9464018
155	277.2013039
156	276.3849679
157	275.7589245
158	274.9712175
159	274.2595021
160	273.4675955
161	272.6591979
162	271.9864471
163	271.3105863
164	270.5913251
165	269.7430554
166	268.9761044
167	268.2021534
168	267.4058384
169	266.7978883
170	266.1111626
171	265.3316194
172	264.6807426
173	264.0941893
174	263.4372045
175	262.7036336
176	261.9382006
177	261.3226774
178	260.5829798
179	259.9661703
180	259.3735191
181	258.8716692
182	258.316873
183	257.7034765
184	257.0868939
185	256.4252058
186	255.8676537
187	255.3337944
188	254.6691423
189	254.0804041
190	253.4934858
191	252.9597302
192	252.4127282
193	251.8670082
194	251.3794845
195	250.7743759
196	250.2706448
197	249.8644833
198	249.2206196
199	248.5687005
200	248.0978469
201	247.6275776
202	247.0366983
203	246.4900261
204	245.9267935
205	245.4126393
206	244.7819414
207	244.1881146
208	243.5629069
209	243.0805234
210	242.6591204
211	242.2913566
212	241.8162922
213	241.2260408
214	240.854703
215	240.3005823
216	239.7889859
217	239.4032379
218	239.0181388
219	238.4477493
220	237.9750974
221	237.4074785
222	236.8943215
223	236.5685462
224	236.0666295
225	235.5249236
226	235.1195464
227	234.6602503
228	234.2213448
229	233.8240093
230	233.3282583
231	232.8662229
232	232.4104841
233	232.0130754
234	231.5651231
235	231.0872208
236	230.5798774
237	230.0791274
238	229.5759681
239	229.2662078
240	228.8989185
241	228.5254652
242	228.1918782
243	227.7511488
244	227.4082918
245	227.0289872
246	226.653872
247	226.3193505
248	225.9728961
249	225.5241629
250	225.1460709
251	224.7016142
252	224.2838818
253	223.8294452
254	223.5018768
255	223.0757358
256	222.6491888
257	222.2580983
258	221.8595089
259	221.483635
260	221.1816827
261	220.6834783
262	220.3505888
263	220.0292083
264	219.829612
265	219.5772526
266	219.2420149
267	218.8555377
268	218.5695796
269	218.3312815
270	218.0206222
271	217.7847635
272	217.414064
273	216.984886
274	216.629643
275	216.229991
276	215.8112366
277	215.5168282
278	215.1973944
279	214.8759586
280	214.6374574
281	214.3085019
282	214.0168334
283	213.7390699
284	213.448102
285	213.1307332
286	212.8610441
287	212.6773174
288	212.3300435
289	212.0855126
290	211.731204
291	211.3985097
292	211.1009801
293	210.7819015
294	210.4820481
295	210.2831816
296	209.9834191
297	209.5991971
298	209.312757
299	209.1222257
300	208.9014065
301	208.6125711
302	208.4128095
303	208.225828
304	207.8751534
305	207.5591796
306	207.3243163
307	206.9879467
308	206.7176452
309	206.5327351
310	206.1962721
311	205.8863386
312	205.6899059
313	205.4370039
314	205.2914024
315	205.1043676
316	204.8903382
317	204.72813
318	204.5301023
319	204.3425675
320	204.0788689
321	203.7753753
322	203.5241913
323	203.2278355
324	202.9444348
325	202.6079204
326	202.4266897
327	202.162019
328	202.0091695
329	201.7650819
330	201.5964078
331	201.3057237
332	201.0521294
333	200.7589904
334	200.6254625
335	200.5114209
336	200.2293737
337	200.0840218
338	199.8635844
339	199.6297232
340	199.3945228
341	199.1581548
342	198.9547161
343	198.788608
344	198.6124083
345	198.3386318
346	198.0431819
347	197.7328224
348	197.5762891
349	197.3611132
350	197.0846043
351	196.9783554
352	196.8279388
353	196.5803525
354	196.4200254
355	196.1867988
356	195.962681
357	195.7690376
358	195.5462152
359	195.1857709
360	195.0639281
361	194.9157348
362	194.6868599
363	194.5309119
364	194.3799277
365	194.1858164
366	193.9784106
367	193.8379973
368	193.4931911
369	193.3798396
370	193.2441135
371	193.0318557
372	192.7820646
373	192.6620565
374	192.4682777
375	192.2171816
376	191.9946758
377	191.8977334
378	191.7421976
379	191.6435077
380	191.5011181
381	191.390674
382	191.2720874
383	191.0566913
384	190.8522724
385	190.5722336
386	190.4486226
387	190.3405151
388	190.1267883
389	189.9428601
390	189.8117439
391	189.646445
392	189.4689598
393	189.2343723
394	189.016701
395	188.8745248
396	188.6975385
397	188.5014097
398	188.3508246
399	188.207436
400	188.0442639
401	187.9531376
402	187.7924754
403	187.5582397
404	187.4010297
405	187.1991192
406	187.1064356
407	186.9533871
408	186.7654328
409	186.6348374
410	186.4504002
411	186.2472451
412	186.1075235
413	185.9891187
414	185.7829214
415	185.678103
416	185.5009321
417	185.4095687
418	185.3028045
419	185.2200885
420	185.0898191
421	184.8904551
422	184.7818324
423	184.6050265
424	184.4583722
425	184.284456
426	184.1071065
427	183.9333811
428	183.7690202
429	183.6671006
430	183.5153727
431	183.3713477
432	183.2121752
433	183.0998567
434	182.9326949
435	182.7765839
436	182.6005103
437	182.4230687
438	182.2538125
439	182.1567408
440	182.0173663
441	181.9225705
442	181.7224549
443	181.6448972
444	181.4637608
445	181.3063127
446	181.1983482
447	181.0692353
448	180.8876735
449	180.7501272
450	180.5197953
451	180.4015599
452	180.1987779
453	180.0645836
454	179.8803505
455	179.6993171
456	179.5405118
457	179.3911347
458	179.2496381
459	179.1789446
460	179.0684527
461	178.9825006
462	178.833079
463	178.6942501
464	178.5590359
465	178.4526285
466	178.314315
467	178.2030898
468	177.9989564
469	177.8235594
470	177.7559041
471	177.6529977
472	177.5806112
473	177.4632182
474	177.3148767
475	177.1506051
476	177.0528631
477	176.9260768
478	176.8071481
479	176.678357
480	176.5992392
481	176.4959428
482	176.3806367
483	176.2244555
484	176.0614541
485	175.9828157
486	175.8747168
487	175.7128295
488	175.6490536
489	175.5187959
490	175.4155424
491	175.2604815
492	175.1412338
493	175.0413253
494	174.9742516
495	174.8149994
496	174.6902867
497	174.5991032
498	174.4435318
499	174.3223709
500	174.2208081
501	174.1259056
502	174.0617905
503	173.9526927
504	173.8352871
505	173.7421702
506	173.6227505
507	173.5139147
508	173.3804173
509	173.3181994
510	173.1513285
511	173.0573737
512	172.9502821
513	172.7399662
514	172.6364625
515	172.501837
516	172.3711349
517	172.2370659
518	172.126971
519	172.01483
520	171.8594927
521	171.7902687
522	171.6595194
523	171.602666
524	171.5245998
525	171.4117304
526	171.3321294
527	171.2317796
528	171.076748
529	170.9613768
530	170.8680139
531	170.7389517
532	170.6603356
533	170.5467651
534	170.4362715
535	170.2913402
536	170.130838
537	170.0273175
538	169.8375102
539	169.7631118
540	169.6252732
541	169.5556851
542	169.452324
543	169.2340694
544	169.1375128
545	169.066016
546	168.9612146
547	168.8469775
548	168.7440344
549	168.6978858
550	168.6015167
551	168.5234377
552	168.3984069
553	168.3477727
554	168.3097806
555	168.2143344
556	168.1206574
557	168.048586
558	167.8818081
559	167.7721706
560	167.6963854
561	167.6356666
562	167.5750313
563	167.406166
564	167.3123516
565	167.223823
566	167.1714886
567	167.0810079
568	166.9887187
569	166.9333097
570	166.7788074
571	166.6858434
